id_1636,id_1808,address,id_frick,confidence,mention_1636,mention_1639,mention_1645,material,jurisdiction,note_id,floors,rooms,heated_rooms,chambers,hallways,kitchens,basements,stables,baths,breweries,bakeries,warehouses,stores,inns,other_rooms,owner_profession_raw,renter_profession_raw,guest_profession_raw,title_lt,occupant_profession,occupant_title,occupant_title_region,occupant_title_rank,guest,guest_region,guest_group,source_lt
1,168d,,1.01,2,1,,,1,2,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,?,—,valdovo siuvėjas (anksčiau barzdaskutys),Motiejaus Valeckio namas,,,,,siuvėjas,valdovo,dvaro,"Einant nuo pilies kairėje pusėje. Pirmas medinis namas kapitulos žemėje, tuoj pat už pilies vartų. Kaip teigė Katedros dekanas [Albertas Žabinskis], [namas] funduotas Vytauto. Jame gyvena Motiejus Valeckis (Walecki). Name vienas kambarys su kamara ir priemene. Apsistojo valdovo siuvėjas Tomas, prieš tai, sutikus šeimininkams, buvo apsistojęs [valdovo] barzdaskutys."
2,168d,,1.02,2,1,,,2,2,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,siuvėjas,—,—,Siuvėjo Tilmano namas,siuvėjas,,,,—,,,"Antras [medinis] namas kapitulos žemėje siuvėjo Tilmano, irgi funduotas Vytauto. Nuo jo činšą moka kapitulos pamokslininkui. Jame namo nėra, tik vienas kambarys su kamara ir priemene. Niekas neapsistojo nei dabar, nei anksčiau, nes nėra kur svečią apgyvendinti."
3,168d,,1.03,2,1,,,2,2,,2,4,0,3,4,1,0,4,0,1,1,0,0,1,pašiūrė,smuklininkas,—,karalaičio dvariškiai,Smuklininko Petro mūrnamis,smuklininkas,,,,dvariškiai,karalaičio,šeima,"Šalia išvardytų namų, kampinis mūrnamis, taip pat funduotas Vytauto, kaip teigia Katedros dekanas [Albertas Žabinskis]. Jame gyvena smuklininkas Petras. Name, iš karto prie durų, viena mūrinė smuklės patalpa, prie jos priemenė su virtuve, priešais ją medinė patalpa su kamara. Viršuje nedidelis atskiras kambarėlis. Kiemas erdvus. Kiti statiniai mediniai. Dešinėje pusėje medinis kambarys su priemene ir kamara, šalia jos kitas kambarys su alkoholio darykla. Kairėje pusėje kambarys su priemene ir kamara, šalia jos kepykla su priemene. Yra arklidė keturiems arkliams laikyti ir erdvi pašiūrė. Name anksčiau buvo apsistoję karalaičio dvariškiai, ir dabar karalaičio [Jono Kazimiero] dvarui paskirta."
4,154,Pilies 2,1.04,2,1,,,2,2,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,kanauninkai,[sufraganas],—,Sufragano Stanislovo Naborskio mūrnamis,katalikų dvasininkas,sufraganas,Vilniaus,katalikų,—,,,"Kitoje gatvės, vedančios link Karališkųjų malūnų, pusėje kanauninkų mūrnamis, priklauso Vilniaus sufraganui [Stanislovui Neborskiui], privilegija suteikta dar Žygimanto Senojo."
5,153,Pilies 4,1.05,2,1,,,2,2,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,kanauninkai,[LDK dvasinis referendorius],—,LDK referendoriaus Tryznos mūrnamis,katalikų dvasininkas,dvasinis referendorius,LDK,ministrai,—,,,"Kanauninkų mūrnamis, kuriame dabar gyvena LDK [dvasinis] referendorius [Marcijonas Tryzna]. Jis namą savo lėšomis suremontavo."
6,152,Pilies 6,1.06,2,1,,,2,2,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,kanauninkai,[kapitulos prepozitas],—,Kapitulos prepozito Žagelio mūrnamis,katalikų dvasininkas,prepozitas,Vilniaus kapitulos,katalikų,—,,,"Kanauninkų mūrnamis, kuriame Vilniaus [kapitulos] prepozitas [Martynas Žagelis] gyvena. Namas privilegijuotas dar Žygimanto Senojo."
7,143,Pilies 8,1.07,2,1,,,2,2,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,kanauninkai,kanauninkas,—,Kanauninko Juozapo Ščyto mūrnamis,katalikų dvasininkas,kanauninkas,Vilniaus,katalikų,—,,,"Už Bernardinų gatvės kanauninkų mūrnamis, jame gyvena [kanauninkas Juozapas] Ščytas (Szczyt). Namą dar tik stato. Katedros dekanas [Albertas Žabinskis] parodė pirkimo iš [Onos] Kiškienės dokumentus, nuo seno priklausė špitolei."
8,142,Pilies 10,1.08,2,1,,,2,3,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,[Vilniaus vyskupas],[katedros pamokslininkas],—,Katedros pamokslininko mūrnamis,katalikų dvasininkas,pamokslininkas,Vilniaus katedros,katalikų,—,,,"Katedros pamokslininko mūrnamis, funduotas Vilniaus vyskupo Valerijono [Protasevičiaus], o pirktas iš Onos Kiškienės [Sadovskienės]. Nuo seno namas priklauso Žemės teismui, todėl niekas nei anksčiau, nei dabar nepaskirtas."
9,141,Pilies 12d,1.09,2,1,,,2,2,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,kanauninkai,[katedros dekanas],—,Katedros dekano Žabinskio mūrnamis,katalikų dvasininkas,dekanas,Vilniaus katedros,katalikų,—,,,"Kanauninkų mūrnamis, kuriame gyvena Katedros dekanas [Albertas] Žabinskis."
10,140,Pilies 12d,1.10,2,1,,,2,1,,3,8,2,2,2,3,3,2,1,1,0,3,0,0,vaistinė; pašiūrė,vaistininkas,?,Karūnos sekretorius,Vaistininko Stanislovo Kendžerskio mūrnamis,vaistininkas,,,,sekretorius,Karūnos,rūmų,"Vaistininko Stanislovo Kendžerskio (Kędzierski) mūrnamis, priklauso miesto jurisdikai. Atleistas nuo svečių prievolės per įvairius suvažiavimus pagal Vladislovo Vazos Vilniuje suteiktą privilegiją 1633 liepos 6 dieną, kadangi [savininkas] nusipelnė valdovui karo žygiuose į Maskvą ir Valakiją. Dabar apgyvendintas Karūnos sekretorius, o prieš tai gyveno irgi jo pirmtakas. Namo apačioje, už vartų, vaistinė su nedideliu sandėliu, priemene, kambarys su papildomu kambarėliu ir priemene, priešais sandėlis. Namas užstatytas Dzevaltovskiui, kaip jis pats teigė, ir ketinama jį naujai sumūryti. Virš kambario, antrame aukšte, virtuvė, didelis valgomasis su kamara, prie jos nedidelis kambarėlis, sandėlis, kambarys su papildomu kambarėliu. Trečiame aukšte nedidelis kambarys, o virš valgomojo du kambarėliai su kamara ir virtuvėle. Kieme, namo gale, pirtis, virtuvė ir kambarėlis, užstatyti Dzevaltovskiui, alkoholio darykla, arklidė porai arklių laikyti, tuščia pašiūrė, po mūrnamiu trys rūsiai."
